,Item_Identifier,Outlet_Identifier,Outles_Sales
368,FDY04,OUT013,3132.55860260825
369,FDM27,OUT046,1941.9257304457785
370,FDZ43,OUT017,2487.3509561360725
371,FDT39,OUT019,1159.4541750627404
372,NCC06,OUT019,2826.6743284949835
373,FDL15,OUT027,2857.846615620574
374,FDL57,OUT017,781.7393597133464
375,FDU08,OUT046,2555.5552125831923
376,FDK40,OUT017,3104.1434554841057
377,FDQ12,OUT010,1040.4849332819804
378,FDS48,OUT017,2732.9494506803594
379,FDP09,OUT045,3487.7668051332266
380,FDW21,OUT049,5170.279619532075
381,FDY25,OUT035,2080.554799047
382,DRE13,OUT017,1677.4516003583215
383,FDV43,OUT019,832.7783921224905
384,FDD22,OUT045,2126.5612611443894
385,FDM46,OUT019,1459.2857058643344
386,NCO30,OUT010,1607.5760968127977
387,FDM25,OUT046,1816.7844694101989
388,NCN41,OUT049,2369.8063427515294
389,FDU24,OUT045,2383.0699600891476
390,FDZ50,OUT046,2268.659252069826
391,FDP45,OUT013,2589.520124886646
392,NCM54,OUT045,1458.3684291453003
393,FDW10,OUT019,1705.7080757817946
394,FDP20,OUT017,2989.8746453046115
395,FDK32,OUT046,1472.510587746263
396,FDN52,OUT049,3780.348213756788
397,FDM58,OUT045,2810.8303106956805
398,FDZ46,OUT027,2428.835594910185
399,NCA18,OUT018,837.6026046717188
400,FDD35,OUT046,2284.120811694136
401,NCK31,OUT035,1368.6245735202613
402,FDI40,OUT027,3718.394574279246
403,FDT50,OUT019,3323.2792968088775
404,NCT06,OUT046,3353.3592604914634
405,FDT31,OUT035,-1070.1597424814536
406,FDT45,OUT049,3474.5069259954294
407,FDT13,OUT045,731.4897987436917
408,FDO50,OUT045,1815.405861827264
409,NCU18,OUT010,3452.330155564269
410,NCR54,OUT049,2404.43119387222
411,NCO18,OUT018,1831.8425368918022
412,FDU09,OUT045,2505.8230637148545
413,FDT13,OUT018,2794.7792623087244
414,FDE09,OUT046,933.5499585054949
415,NCK53,OUT019,2585.5322931671976
416,FDG45,OUT049,3892.5822058165095
417,DRH15,OUT035,-1180.4499252559415
418,FDO21,OUT019,3347.748251188435
419,FDD14,OUT027,2160.315254967083
420,FDC09,OUT046,-314.22077965059793
421,FDH45,OUT027,2876.6165837947033
422,FDV32,OUT046,3733.5957048263067
423,FDG12,OUT035,3815.152463595972
424,FDS32,OUT013,3088.4556219928472
425,NCL55,OUT018,3731.159190033191
426,DRE01,OUT035,2851.730036972991
427,DRE15,OUT049,2634.630997851047
428,NCL42,OUT045,1429.9237733351927
429,FDP31,OUT013,864.3488385435891
430,FDN33,OUT018,-1268.2747349721549
431,FDZ59,OUT046,2981.6876995730063
432,FDE45,OUT010,2496.6448094306324
433,FDJ07,OUT013,-418.5498591850542
434,FDQ45,OUT018,587.7788743587678
435,FDM33,OUT027,3476.477609342008
436,FDO15,OUT010,3151.2564254152694
437,FDM46,OUT013,1886.4970378600788
438,FDR03,OUT045,3520.310264667648
439,FDY49,OUT018,3566.262947910529
440,FDQ60,OUT045,2878.073206025436
441,FDW10,OUT049,2893.3511417745312
442,FDO51,OUT049,1731.5810238310207
443,FDJ40,OUT018,1982.0260862948692
444,FDS20,OUT018,3868.60499923904
445,FDU45,OUT013,1691.8459704525624
446,FDV02,OUT035,-1036.0627860240988
447,FDN09,OUT046,790.0381036392151
448,NCM55,OUT027,2192.91268004182
449,FDN23,OUT018,2377.2063590939147
450,FDY31,OUT010,2298.0562332864342
451,FDW03,OUT010,1419.9763499511564
452,FDD14,OUT046,614.8604862971977
453,FDV23,OUT017,3102.392579448166
454,DRI03,OUT045,1481.684839874858
455,FDN13,OUT035,2709.880263875937
456,FDF45,OUT027,5560.317804925127
457,FDU46,OUT035,1538.8256816180563
458,FDB57,OUT049,2170.31553348461
459,FDV12,OUT049,2251.0051604150813
460,FDQ58,OUT013,704.1747763535163
461,NCA18,OUT017,798.4459520701804
462,FDH52,OUT049,1896.7443490602393
463,FDM24,OUT018,1916.8916150927514
464,NCP43,OUT027,2464.425641736601
465,NCO18,OUT019,1978.2219873476179
466,FDM32,OUT017,2805.244981198087
467,NCL07,OUT017,1587.4691740115034
468,FDK03,OUT013,1387.6678664061685
469,FDP59,OUT017,2812.7618127865017
470,FDQ24,OUT049,3875.1759348620926
471,FDQ16,OUT018,2943.4605878018447
472,FDU44,OUT013,4384.402793158004
473,FDH28,OUT010,2271.339361729566
474,FDV28,OUT019,947.1930136059914
475,FDM22,OUT045,1366.6530906065861
476,FDR56,OUT046,1524.9911633406803
477,FDV39,OUT049,702.2941427748767
478,FDU37,OUT019,2447.0628487357667
479,FDQ11,OUT010,2908.1292891352355
480,FDX02,OUT045,2984.0980157843733
481,NCS42,OUT018,3755.3676388612375
482,FDY57,OUT027,3119.4756839324473
483,FDB21,OUT049,2155.6084710864916
484,FDE28,OUT017,2826.87407270699
485,FDQ55,OUT017,2912.7123891081014
486,FDA48,OUT049,1872.128212044551
487,FDZ19,OUT045,-693.9893575121853
488,NCC43,OUT045,2147.4241174009107
489,NCV18,OUT046,-1236.7208575193522
490,NCA42,OUT018,487.6231995966127
491,FDY45,OUT046,5431.553868475805
492,NCC30,OUT045,3225.338612564317
493,FDM57,OUT013,1949.1498627171147
494,FDL09,OUT010,2113.6584218322782
495,FDB09,OUT027,2966.175835111019
496,FDT44,OUT035,3133.8916703536906
497,NCT06,OUT027,4607.316942417063
498,FDX26,OUT049,1502.668784481582
499,FDK32,OUT013,2005.170944723081
500,DRA12,OUT046,2005.9674341882771
501,FDO46,OUT010,3420.845447588529
502,FDE52,OUT013,2215.0194283095707
503,NCH42,OUT045,1426.4838302099533
504,FDV08,OUT035,3175.6733240747517
505,FDB47,OUT018,464.0469784503166
506,FDC28,OUT010,2959.3372784191342
507,FDD22,OUT046,2402.4862447358755
508,FDS07,OUT027,1372.8475952982872
509,DRI13,OUT045,-359.7963227318762
510,FDG32,OUT018,1129.0522391985755
511,FDU14,OUT017,2057.4281939152547
512,FDD28,OUT019,3811.2690383892937
513,NCP41,OUT017,612.4268051136478
514,FDS08,OUT049,890.2591041734082
515,FDX47,OUT045,1700.5252195754076
516,FDC53,OUT019,2584.1647639317957
517,FDQ19,OUT035,503.51454186742296
518,FDL14,OUT045,3103.0029598250376
519,FDM33,OUT019,5090.384637848567
520,FDA51,OUT045,752.6169100863236
521,FDZ27,OUT018,534.4559586520866
522,FDT04,OUT046,-992.8884680206393
523,DRC13,OUT049,706.6034932555925
524,FDR16,OUT027,1755.6510423935217
525,FDQ03,OUT027,3615.2243961701824
526,FDE38,OUT035,1951.6042702446014
527,DRH23,OUT027,613.3064548989919
528,FDT11,OUT019,3775.02473750751
529,FDD09,OUT035,2499.339459031539
530,FDR40,OUT045,1765.1013932288975
531,FDX07,OUT017,986.5610295386768
532,FDR07,OUT035,-1113.9781836693537
533,FDA51,OUT017,2589.659057059833
534,FDT59,OUT019,2522.4584419601983
535,FDF20,OUT017,2755.0660422990604
536,FDR13,OUT045,3574.4673071438597
537,FDY26,OUT049,2300.169058366265
538,FDW04,OUT017,957.9902140494428
539,FDK52,OUT017,2348.788814527992
540,FDN60,OUT049,-1008.2912464345429
541,FDM09,OUT019,1409.6134193341966
542,FDP46,OUT049,4595.139448290691
543,FDB50,OUT019,2255.9904372258516
544,NCQ29,OUT049,1286.4226491161114
545,FDP16,OUT027,709.2107234894227
546,FDX33,OUT018,887.3278990195805
547,FDP07,OUT010,2082.3598628684667
548,FDN22,OUT046,1538.1320819121772
549,FDF39,OUT049,2873.2127888728605
550,FDS21,OUT017,689.4095475521701
551,NCM42,OUT013,2222.350009157979
552,FDK50,OUT019,774.6027257677054
553,DRF13,OUT027,2717.6621612505933
554,FDH35,OUT018,3177.697325307578
555,FDP60,OUT018,1471.8213222172105
556,DRJ49,OUT027,3161.8018902007075
557,NCT42,OUT019,2836.9480294232712
558,FDE38,OUT049,3209.370398512348
559,FDI04,OUT049,2264.2053795403567
560,NCH54,OUT045,1432.8770527971535
561,FDT56,OUT049,-1245.8843861376204
562,DRD15,OUT018,2106.835156903961
563,FDV58,OUT013,629.201527313068
564,FDP21,OUT049,3448.6791112600818
565,FDH05,OUT013,4119.335657042762
566,FDR10,OUT027,4214.616636383802
567,NCP06,OUT045,1636.2180473655442
568,FDF33,OUT049,3226.5445940927543
569,DRK37,OUT013,2370.9105720296507
570,DRH49,OUT045,1522.645492288339
571,FDT58,OUT013,1201.1871495990117
572,FDD41,OUT018,2373.5673764161284
573,FDP40,OUT018,1350.8662534449861
574,FDM51,OUT027,-1297.950970763287
575,FDO45,OUT010,1582.2666570401568
576,FDW33,OUT010,693.1774317018868
577,FDY24,OUT045,1523.1335239420255
578,FDB10,OUT010,3922.9877191272335
579,FDM40,OUT035,1855.413205793536
580,NCI06,OUT017,1850.3122195043388
581,FDW12,OUT019,1660.2519991380204
582,FDX48,OUT027,3096.08128251735
583,NCW05,OUT027,2766.1399185642504
584,FDX27,OUT017,2896.555026056453
585,DRM37,OUT045,1716.4904055610155
586,FDA38,OUT045,1359.6752778252649
587,FDR36,OUT046,3048.9872386339816
588,FDZ45,OUT046,3205.5163687173394
589,FDG05,OUT017,2967.7450476515924
590,FDK28,OUT013,2395.560350591273
591,FDV47,OUT045,2616.3973942012476
592,FDN21,OUT045,1862.0476454754091
593,FDP20,OUT027,748.5953715076596
594,FDI35,OUT045,2642.8954204317397
595,DRY23,OUT013,1768.3326845826448
596,FDA56,OUT017,1703.0246116112628
597,FDB09,OUT013,3472.1059187989536
598,NCO26,OUT027,3345.756791868274
599,FDQ49,OUT018,2990.985413267467
600,FDI52,OUT027,1249.6150554002913
601,FDZ44,OUT027,3061.3349290568262
602,FDZ09,OUT018,1570.7102247143177
603,FDY03,OUT049,1904.3582484529534
604,NCG42,OUT017,2739.7994936461387
605,DRI13,OUT027,1684.6928169270998
606,FDQ32,OUT013,2831.664961752085
607,FDW16,OUT035,1530.7943916054526
608,FDU27,OUT046,2425.752964186461
609,FDR28,OUT010,1368.0285783545012
610,FDQ49,OUT010,2853.711316873082
611,FDS37,OUT046,1465.4989224892472
612,FDW26,OUT018,3128.3716643044827
613,FDX12,OUT018,1023.6028717771743
614,NCP06,OUT013,3259.3956747924826
615,FDW45,OUT010,807.4824643864306
616,NCN30,OUT049,2730.9571120620076
617,FDN24,OUT049,1013.3384012973594
618,NCL41,OUT027,1369.0039822144067
619,FDR02,OUT019,846.5407269948959
620,FDD09,OUT010,798.5740227045192
621,FDS33,OUT010,2011.482607161459
622,FDU22,OUT045,1748.557377526119
623,FDI53,OUT013,1234.5106270580227
624,DRH01,OUT049,3923.2085630034762
625,FDX32,OUT013,3839.559452196195
626,NCP30,OUT018,2757.8742663119847
627,FDB60,OUT045,2133.3834598843205
628,FDB14,OUT049,4231.715901100331
629,NCP02,OUT035,1743.7926397292738
630,FDJ10,OUT017,2398.9087674550706
631,FDG34,OUT046,1781.1049225666118
632,NCB18,OUT017,2069.6183008603416
633,FDM16,OUT049,468.26667684489144
634,FDW25,OUT018,1934.0393323902313
635,FDB35,OUT010,4507.047932199366
636,DRN11,OUT013,-208.8364685477752
637,FDF41,OUT019,3597.256454273438
638,FDH16,OUT045,2613.0207727600223
639,NCQ50,OUT018,3792.357426408605
640,DRH23,OUT018,4353.747917027741
641,DRJ37,OUT013,3216.0436850823457
642,DRJ24,OUT027,2420.8699648903207
643,FDY16,OUT035,575.5157044012562
644,FDQ27,OUT045,1214.2569023550245
645,FDZ33,OUT045,3354.7296368363686
646,FDF29,OUT045,4099.822837657068
647,FDA08,OUT049,2412.968743456206
648,FDG31,OUT046,2978.2581477931067
649,FDE34,OUT019,1785.3837045503394
650,NCR30,OUT027,967.1233882064494
651,FDV33,OUT035,-1125.1329282870065
652,DRZ24,OUT018,1701.2624624264463
653,NCL54,OUT035,2183.558390124594
654,FDR12,OUT049,1538.230981511641
655,NCC54,OUT046,1642.9880726266294
656,DRN59,OUT013,2744.674329996157
657,FDX50,OUT019,3422.136445098241
658,FDV31,OUT027,3064.9689731803046
659,NCA29,OUT027,3676.7537461272473
660,FDW60,OUT049,693.8943876892615
661,FDX08,OUT017,4236.48231431859
662,DRD49,OUT013,3176.8322660606723
663,FDD33,OUT046,1433.5038255099744
664,FDW35,OUT013,3734.6888580025566
665,FDJ36,OUT017,589.4624205390583
666,FDV51,OUT035,1328.3888020811
667,FDW36,OUT046,1958.5054009833952
668,FDH35,OUT046,1824.9868607088956
669,NCS30,OUT027,2232.273279804887
670,FDN49,OUT017,3721.799237247634
671,FDL08,OUT018,1284.389494303351
672,FDI09,OUT013,1552.888719812627
673,FDP19,OUT018,1062.776027159816
